full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdullah Moutlaq Al Enazi,28,Professional League,2013/2014,Goalkeeper,Al Nassr,1800,900,900,Saudi Arabia,20,10,10,0,0,0,0,0,0,0,0,10,4,6,14,10,4,1,0,0,0,0,0,0,0,0.7,129,90,1800,0,0.05,165,120,8,21
Hussein Omar Abdul Ghani Sulaimani,41,Professional League,2013/2014,Defender,Al Nassr,2037,957,1080,Saudi Arabia,23,11,12,0,0,0,0,0,0,0,0,9,4,5,18,11,7,5,1,0,0,0,0,0,0,0.8,113,89,407,0,0.22,164,119,10,20
Khaled Ahmed Al Ghamdi,30,Professional League,2013/2014,Defender,Al Nassr,1530,900,630,Saudi Arabia,17,10,7,0,0,0,0,0,0,0,0,9,4,5,12,10,2,2,0,0,0,0,0,0,0,0.71,128,90,765,0,0.12,163,118,9,14
Elton Rodrigues Brandão,33,Professional League,2013/2014,Forward,Al Nassr,1432,750,682,Brazil,20,10,8,16,11,5,0,0,0,1,0,7,4,3,16,10,6,1,0,1.01,0,1.01,1.32,0.66,90,1.01,90,72,1432,0,0.06,1,116,-1,2
Charles Edoa Nga,28,Professional League,2013/2014,Forward,Al Orubah,1634,795,839,Cameroon,21,8,10,3,1,2,0,0,0,1,0,7,4,3,19,9,10,3,1,0.17,0,0.17,0.11,0.21,545,1.05,86,78,545,0,0.17,79,109,-1,4
Mohammed Qassem Al Nakhli,23,Professional League,2013/2014,Defender,Al Ittihad,1835,891,944,Saudi Arabia,21,10,10,0,0,0,0,0,0,0,0,2,2,0,33,11,22,3,0,0,0,0,0,0,0,1.62,56,87,612,0,0.15,160,115,95,23
Abdulrahman Kamel Abdullah Al Ghamdi,24,Professional League,2013/2014,Forward,Al Ittihad,797,376,421,Saudi Arabia,16,4,4,2,2,0,0,0,0,0,0,0,0,0,15,8,7,4,1,0.23,0,0.23,0.48,0,399,1.69,53,50,199,0,0.45,57,114,-1,5
Abdulmuttaleb Saleh Al-Treadi,36,Professional League,2013/2014,Defender,Al Ittihad,584,359,225,Saudi Arabia,9,4,2,0,0,0,0,0,0,0,0,0,0,0,14,10,4,0,0,0,0,0,0,0,0,2.16,42,65,0,0,0,159,113,109,22
Oday Amro,31,Professional League,2013/2014,Defender,Al Orubah,1602,900,702,Saudi Arabia,21,10,7,0,0,0,0,0,0,0,0,7,3,4,18,11,7,3,0,0,0,0,0,0,0,1.01,89,76,534,0,0.17,158,112,33,12
Hussain Abdoh Al Shaian,29,Professional League,2013/2014,Goalkeeper,Al Shabab,360,180,180,Saudi Arabia,4,2,2,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,152,111,4,20
Essa Al Mehyani,35,Professional League,2013/2014,Forward,Al Shabab,762,393,369,Saudi Arabia,18,5,3,3,2,1,0,0,0,0,0,6,3,3,9,5,4,0,0,0.35,0,0.35,0.46,0.24,254,1.06,85,42,0,0,0,31,110,-1,6
Fahad Al Johani,27,Professional League,2013/2014,Forward,Al Raed,953,489,464,Saudi Arabia,17,5,4,3,1,2,0,0,0,0,0,4,3,1,16,6,10,5,0,0.28,0,0.28,0.18,0.39,318,1.51,60,56,191,0,0.47,45,124,-1,4
Leandro do Bonfim,34,Professional League,2013/2014,Midfielder,Al Ittihad,1109,686,423,Brazil,15,8,5,3,2,1,0,0,0,0,0,1,1,0,24,9,15,0,0,0.24,0,0.24,0.26,0.21,370,1.95,46,74,0,0,0,54,117,-1,4
Jóbson Leandro Pereira de Oliveira,30,Professional League,2013/2014,Forward,Al Ittihad,702,361,341,Brazil,13,4,4,5,3,2,0,0,0,1,0,1,1,0,18,7,11,2,0,0.64,0,0.64,0.75,0.53,140,2.31,39,54,351,0,0.26,9,125,-1,3
Mohamad Haidar,28,Professional League,2013/2014,Forward,Al Ittihad,1041,519,522,Lebanon,19,5,6,1,1,0,0,0,0,0,0,2,2,0,23,6,17,2,0,0.09,0,0.09,0.17,0,1041,1.99,45,55,521,0,0.17,111,135,-1,13
João Fernando Nelo,39,Professional League,2013/2014,Forward,Al Ittihad,140,89,51,Brazil,5,1,1,1,1,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0.64,0,0.64,1.01,0,140,1.93,47,28,0,0,0,-1,-1,-1,11
Shafi Hathal Al Dossari,28,Professional League,2013/2014,Defender,Al Fateh,321,58,263,Saudi Arabia,7,1,3,0,0,0,0,0,0,0,0,1,1,0,7,0,7,1,0,0,0,0,0,0,0,1.96,46,46,321,0,0.28,171,141,105,11
Bader Al Khames,34,Professional League,2013/2014,Forward,Al Fateh,724,392,332,Saudi Arabia,21,4,3,3,3,0,0,0,0,0,0,3,3,0,10,3,7,4,1,0.37,0,0.37,0.69,0,241,1.24,72,34,181,0,0.5,29,140,-1,4
Ali Al Mazidi,33,Professional League,2013/2014,Goalkeeper,Al Fateh,990,540,450,Saudi Arabia,11,6,5,0,0,0,0,0,0,0,0,1,1,0,15,5,10,1,0,0,0,0,0,0,0,1.36,66,90,990,0,0.09,192,139,69,10
Ammar Jemal,31,Professional League,2013/2014,Defender,Al Fateh,1620,900,720,Tunisia,18,10,8,0,0,0,0,0,0,0,0,3,3,0,25,10,15,8,0,0,0,0,0,0,0,1.39,65,90,203,0,0.44,194,138,75,9
Yahya Ateen,28,Professional League,2013/2014,Midfielder,Al Ittifaq,633,318,315,Saudi Arabia,14,3,4,1,1,0,0,0,0,0,0,5,4,1,6,2,4,2,0,0.14,0,0.14,0.28,0,633,0.85,106,45,317,0,0.28,94,137,-1,13
Ibrahim Taher Al Ibrahim,26,Professional League,2013/2014,Midfielder,Al Ittifaq,236,183,53,Saudi Arabia,8,2,0,0,0,0,0,0,0,0,0,4,3,1,3,0,3,0,0,0,0,0,0,0,0,1.14,79,30,0,0,0,-1,-1,-1,17
Islam Hassan Seraj,29,Professional League,2013/2014,Forward,Al Ittifaq,366,71,295,Saudi Arabia,11,0,4,0,0,0,0,0,0,0,0,4,2,2,4,0,4,0,0,0,0,0,0,0,0,0.98,92,33,0,0,0,195,136,-1,16
Ahmad Mohammed Al Kaabi,30,Professional League,2013/2014,Midfielder,Al Shoalah,244,93,151,Saudi Arabia,9,0,1,0,0,0,0,0,0,0,0,1,0,1,9,3,6,0,0,0,0,0,0,0,0,3.32,27,27,0,0,0,-1,-1,-1,12
Fahad Al Munaif,28,Professional League,2013/2014,Forward,Al Shoalah,871,440,431,Saudi Arabia,18,4,4,2,1,1,0,0,0,0,0,4,2,2,15,6,9,0,0,0.21,0,0.21,0.2,0.21,436,1.55,58,48,0,0,0,69,134,-1,5
Majed Al Jafari,32,Professional League,2013/2014,Defender,Najran,1187,516,671,Saudi Arabia,15,6,8,0,0,0,0,0,0,0,0,2,1,1,18,5,13,2,1,0,0,0,0,0,0,1.36,66,79,396,0,0.23,196,127,70,19
Yasser Ali Al Mohammed,26,Professional League,2013/2014,Midfielder,Najran,622,251,371,Saudi Arabia,14,3,5,0,0,0,0,0,0,0,0,3,3,0,19,7,12,2,0,0,0,0,0,0,0,2.75,33,44,311,0,0.29,197,133,-1,18
Madallah Alolayan,24,Professional League,2013/2014,Midfielder,Al Taawon,1511,803,708,Saudi Arabia,22,9,9,0,0,0,0,0,0,0,0,5,2,3,14,5,9,2,0,0,0,0,0,0,0,0.83,108,69,756,0,0.12,198,132,-1,16
Abdul Rahman Najr Al Harbi,26,Professional League,2013/2014,Midfielder,Al Taawon,191,152,39,Saudi Arabia,9,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0.94,96,21,191,0,0.47,-1,-1,-1,17
Sultan Al Yami,31,Professional League,2013/2014,Defender,Al Faisaly,1073,546,527,Saudi Arabia,13,7,6,0,0,0,0,0,0,0,0,5,4,1,12,5,7,3,0,0,0,0,0,0,0,1.01,89,83,358,0,0.25,199,131,34,15
Mansour Hamzi,26,Professional League,2013/2014,Forward,Al Faisaly,880,475,405,Saudi Arabia,21,4,5,2,2,0,0,0,0,0,0,5,4,1,9,6,3,0,0,0.2,0,0.2,0.38,0,440,0.92,98,42,0,0,0,70,130,-1,6
Abdulaziz Saeed Al Dawsari,30,Professional League,2013/2014,Midfielder,Al Hilal,1194,564,630,Saudi Arabia,20,6,6,2,1,1,0,0,0,0,0,7,4,3,10,3,7,3,0,0.15,0,0.15,0.16,0.14,597,0.75,119,60,398,0,0.23,87,129,-1,8
Fahad Al Malki,26,Professional League,2013/2014,Forward,Al Nahdha,313,121,192,Saudi Arabia,9,1,2,1,0,1,0,0,0,0,0,1,1,0,10,2,8,0,0,0.29,0,0.29,0,0.47,313,2.88,31,35,0,0,0,41,128,-1,7
Abdulaziz Takroni,26,Professional League,2013/2014,Goalkeeper,Al Ittihad,180,90,90,Saudi Arabia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,20
Husein Al Shuwaish,30,Professional League,2013/2014,Defender,Al Raed,1611,891,720,Saudi Arabia,18,10,8,1,0,1,0,0,0,0,0,7,4,3,20,9,11,2,0,0.06,0,0.06,0,0.13,1611,1.12,81,90,806,0,0.11,129,126,44,7
Mohammad Mustafa Hassan Ali,29,Professional League,2013/2014,Defender,Al Shoalah,1369,649,720,Jordan,18,7,8,1,0,1,0,0,0,0,0,2,1,1,32,11,21,4,1,0.07,0,0.07,0,0.13,1369,2.1,43,76,274,0,0.33,123,107,108,7
