,home_team_name,Result,away_team_name,home_ppg,away_ppg,home_team_shots_on_target,away_team_shots_on_target,home_team_corner_count,away_team_corner_count,HAS,HDS,AAS,ADS
224,Hajer,1,Al Orubah,1.38,0.15,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.14940134099616859,0.2832825512898639
225,Najran,-1,Al Faisaly,0.85,1.15,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.711853448275862,0.7678448100751574
226,Al Taawon,3,Al Shoalah,1.23,0.23,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.18455459770114943,0.3801950030469226
227,Al Fateh,1,Al Raed,1.62,0.46,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.7382183908045977,1.036217753402397
228,Al Ittihad,1,Al Khaleej,2.0,1.0,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.4218390804597701,0.5218362786918546
229,Al Hilal,-1,Al Shabab,2.38,1.54,8,7,7,1,1.2747714808043875,0.5009339080459769,0.7206417624521072,0.6336583384115377
230,Al Ahli,1,Al Nassr,2.23,2.62,4,3,5,7,1.177859029047329,0.5800287356321838,1.2391522988505748,0.5889295145236645
231,Hajer,-3,Najran,1.38,1.0,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.41305076628352494,0.5665651025797278
232,Al Orubah,0,Al Khaleej,1.15,1.0,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.4218390804597701,0.5218362786918546
233,Al Faisaly,-2,Al Shabab,1.15,1.54,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.7206417624521072,0.6336583384115377
234,Al Shoalah,1,Al Fateh,1.38,0.92,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.7382183908045977,0.8871216737761528
235,Al Raed,-2,Al Ahli,1.54,2.38,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,1.370977011494253,0.64111314239285
236,Al Nassr,1,Al Ittihad,2.31,2.0,4,6,5,7,1.0884013812715825,0.5624521072796935,1.2039990421455937,0.8051188299817185
237,Al Khaleej,0,Al Fateh,1.23,0.92,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,0.7382183908045977,0.8871216737761528
238,Al Ahli,2,Al Orubah,2.23,0.15,3,4,6,2,1.177859029047329,0.5800287356321838,0.14940134099616859,0.2832825512898639
239,Al Shabab,0,Al Raed,1.54,0.46,13,3,11,2,0.8349380459069674,0.7821599616858238,0.7382183908045977,1.036217753402397
240,Al Taawon,-1,Al Nassr,1.23,2.62,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,1.2391522988505748,0.5889295145236645
241,Najran,2,Al Shoalah,0.85,0.23,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.18455459770114943,0.3801950030469226
242,Al Ittihad,-1,Hajer,2.0,0.77,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.18455459770114943,0.45474304286004474
243,Al Fateh,1,Najran,1.62,1.0,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.41305076628352494,0.5665651025797278
244,Al Shoalah,0,Al Orubah,1.38,0.15,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.14940134099616859,0.2832825512898639
245,Al Raed,-1,Al Khaleej,1.54,1.0,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.4218390804597701,0.5218362786918546
246,Al Ahli,0,Al Faisaly,2.23,1.15,-1,-1,-1,-1,1.177859029047329,0.5800287356321838,0.711853448275862,0.7678448100751574
247,Al Shabab,-1,Al Taawon,1.54,0.92,8,7,2,12,0.8349380459069674,0.7821599616858238,0.9139846743295018,0.8125736339630306
248,Hajer,-4,Al Nassr,1.38,2.62,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,1.2391522988505748,0.5889295145236645
249,Al Ittihad,0,Al Hilal,2.0,1.77,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,1.2127873563218392,0.4696526508226691
250,Al Khaleej,-1,Najran,1.23,1.0,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,0.41305076628352494,0.5665651025797278
251,Al Shoalah,2,Hajer,1.38,0.77,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.18455459770114943,0.45474304286004474
252,Al Nassr,0,Al Faisaly,2.31,1.15,14,5,11,2,1.0884013812715825,0.5624521072796935,0.711853448275862,0.7678448100751574
253,Al Fateh,-1,Al Ahli,1.62,2.38,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,1.370977011494253,0.64111314239285
254,Al Taawon,1,Al Ittihad,1.23,2.0,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,1.2039990421455937,0.8051188299817185
255,Al Orubah,0,Al Shabab,1.15,1.54,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.7206417624521072,0.6336583384115377
256,Al Hilal,2,Al Raed,2.38,0.46,5,7,8,4,1.2747714808043875,0.5009339080459769,0.7382183908045977,1.036217753402397
257,Al Hilal,2,Al Taawon,2.38,0.92,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,0.9139846743295018,0.8125736339630306
